scheme,size,rep,build_ms
SMT,5000,9,1401.69
SMT,10000,0,2944.031
SMT,10000,1,2992.68
SMT,10000,2,2989.656
SMT,10000,3,2952.162
SMT,10000,4,3003.434
SMT,10000,5,2978.037
SMT,10000,6,2920.264
SMT,10000,7,2940.595
SMT,10000,8,3018.496
SMT,10000,9,3090.714
