scheme,size,rep,pi,size_bytes
VESTA-2048,2000,4,mem,277.8
VESTA-2048,2000,4,nonmem,301.0
MHT,2000,4,mem,410.6
MHT,2000,4,nonmem,827.7
VESTA-256,2000,5,mem,59.6
VESTA-256,2000,5,nonmem,77.0
VESTA-2048,2000,5,mem,294.0
VESTA-2048,2000,5,nonmem,301.0
MHT,2000,5,mem,412.4
MHT,2000,5,nonmem,831.4
VESTA-256,2000,6,mem,70.3
VESTA-256,2000,6,nonmem,76.9
VESTA-2048,2000,6,mem,312.6
VESTA-2048,2000,6,nonmem,300.9
MHT,2000,6,mem,407.1
MHT,2000,6,nonmem,825.6
VESTA-256,2000,7,mem,63.0
VESTA-256,2000,7,nonmem,76.9
VESTA-2048,2000,7,mem,294.5
VESTA-2048,2000,7,nonmem,300.9
MHT,2000,7,mem,414.7
MHT,2000,7,nonmem,834.1
VESTA-256,2000,8,mem,87.7
VESTA-256,2000,8,nonmem,76.8
VESTA-2048,2000,8,mem,311.4
VESTA-2048,2000,8,nonmem,300.8
MHT,2000,8,mem,414.1
MHT,2000,8,nonmem,833.0
VESTA-256,2000,9,mem,78.8
VESTA-256,2000,9,nonmem,77.0
VESTA-2048,2000,9,mem,302.0
VESTA-2048,2000,9,nonmem,301.0
MHT,2000,9,mem,410.4
MHT,2000,9,nonmem,828.9
VESTA-256,5000,0,mem,55.2
VESTA-256,5000,0,nonmem,77.0
VESTA-2048,5000,0,mem,305.7
VESTA-2048,5000,0,nonmem,301.0
MHT,5000,0,mem,488.9
MHT,5000,0,nonmem,984.1
VESTA-256,5000,1,mem,82.1
VESTA-256,5000,1,nonmem,77.0
VESTA-2048,5000,1,mem,309.2
VESTA-2048,5000,1,nonmem,301.0
MHT,5000,1,mem,484.4
MHT,5000,1,nonmem,988.1
VESTA-256,5000,2,mem,79.3
VESTA-256,5000,2,nonmem,77.0
VESTA-2048,5000,2,mem,313.5
VESTA-2048,5000,2,nonmem,301.0
MHT,5000,2,mem,485.5
MHT,5000,2,nonmem,981.5
VESTA-256,5000,3,mem,72.1
VESTA-256,5000,3,nonmem,77.0
VESTA-2048,5000,3,mem,304.0
VESTA-2048,5000,3,nonmem,301.0
MHT,5000,3,mem,490.6
MHT,5000,3,nonmem,995.9
VESTA-256,5000,4,mem,79.7
VESTA-256,5000,4,nonmem,77.1
VESTA-2048,5000,4,mem,279.3
VESTA-2048,5000,4,nonmem,301.1
MHT,5000,4,mem,492.8
MHT,5000,4,nonmem,993.9
VESTA-256,5000,5,mem,90.0
VESTA-256,5000,5,nonmem,77.1
VESTA-2048,5000,5,mem,303.7
VESTA-2048,5000,5,nonmem,301.1
MHT,5000,5,mem,483.7
MHT,5000,5,nonmem,993.8
VESTA-256,5000,6,mem,80.9
VESTA-256,5000,6,nonmem,76.9
VESTA-2048,5000,6,mem,312.1
VESTA-2048,5000,6,nonmem,300.9
MHT,5000,6,mem,485.1
MHT,5000,6,nonmem,991.0
VESTA-256,5000,7,mem,79.9
VESTA-256,5000,7,nonmem,77.0
VESTA-2048,5000,7,mem,302.5
VESTA-2048,5000,7,nonmem,301.0
MHT,5000,7,mem,487.0
MHT,5000,7,nonmem,997.2
VESTA-256,5000,8,mem,72.3
VESTA-256,5000,8,nonmem,76.8
VESTA-2048,5000,8,mem,305.7
VESTA-2048,5000,8,nonmem,300.8
MHT,5000,8,mem,484.4
MHT,5000,8,nonmem,986.2
VESTA-256,5000,9,mem,80.5
VESTA-256,5000,9,nonmem,77.0
VESTA-2048,5000,9,mem,304.5
VESTA-2048,5000,9,nonmem,301.0
MHT,5000,9,mem,488.6
MHT,5000,9,nonmem,992.7
VESTA-256,10000,0,mem,104.7
VESTA-256,10000,0,nonmem,76.9
VESTA-2048,10000,0,mem,306.0
VESTA-2048,10000,0,nonmem,300.9
MHT,10000,0,mem,523.2
MHT,10000,0,nonmem,1055.3
VESTA-256,10000,1,mem,81.8
VESTA-256,10000,1,nonmem,77.0
VESTA-2048,10000,1,mem,296.6
VESTA-2048,10000,1,nonmem,301.0
MHT,10000,1,mem,528.0
MHT,10000,1,nonmem,1060.4
VESTA-256,10000,2,mem,96.6
VESTA-256,10000,2,nonmem,77.0
VESTA-2048,10000,2,mem,321.4
VESTA-2048,10000,2,nonmem,301.1
MHT,10000,2,mem,522.5
MHT,10000,2,nonmem,1064.9
VESTA-256,10000,3,mem,96.7
VESTA-256,10000,3,nonmem,77.0
VESTA-2048,10000,3,mem,293.4
VESTA-2048,10000,3,nonmem,301.0
MHT,10000,3,mem,527.8
MHT,10000,3,nonmem,1070.3
VESTA-256,10000,4,mem,83.4
VESTA-256,10000,4,nonmem,77.1
VESTA-2048,10000,4,mem,292.7
VESTA-2048,10000,4,nonmem,301.1
MHT,10000,4,mem,526.1
MHT,10000,4,nonmem,1058.2
VESTA-256,10000,5,mem,82.5
VESTA-256,10000,5,nonmem,77.1
VESTA-2048,10000,5,mem,310.7
VESTA-2048,10000,5,nonmem,301.1
MHT,10000,5,mem,529.5
MHT,10000,5,nonmem,1069.0
VESTA-256,10000,6,mem,71.8
VESTA-256,10000,6,nonmem,76.8
VESTA-2048,10000,6,mem,343.5
VESTA-2048,10000,6,nonmem,300.8
MHT,10000,6,mem,520.0
MHT,10000,6,nonmem,1063.0
VESTA-256,10000,7,mem,72.8
VESTA-256,10000,7,nonmem,76.9
VESTA-2048,10000,7,mem,321.6
VESTA-2048,10000,7,nonmem,300.9
MHT,10000,7,mem,526.5
MHT,10000,7,nonmem,1062.7
VESTA-256,10000,8,mem,115.8
VESTA-256,10000,8,nonmem,76.7
VESTA-2048,10000,8,mem,313.5
VESTA-2048,10000,8,nonmem,300.8
MHT,10000,8,mem,524.3
MHT,10000,8,nonmem,1064.5
VESTA-256,10000,9,mem,81.3
VESTA-256,10000,9,nonmem,76.9
VESTA-2048,10000,9,mem,320.2
VESTA-2048,10000,9,nonmem,300.9
MHT,10000,9,mem,526.0
MHT,10000,9,nonmem,1056.1
SMT,500,0,mem,8213.5
SMT,500,0,nonmem,8221.8
SMT,500,1,mem,8213.6
SMT,500,1,nonmem,8221.8
SMT,500,2,mem,8213.4
SMT,500,2,nonmem,8221.8
SMT,500,3,mem,8213.3
SMT,500,3,nonmem,8221.8
SMT,500,4,mem,8213.5
SMT,500,4,nonmem,8221.8
SMT,500,5,mem,8213.6
SMT,500,5,nonmem,8221.8
SMT,500,6,mem,8213.5
SMT,500,6,nonmem,8221.8
SMT,500,7,mem,8213.3
SMT,500,7,nonmem,8221.8
SMT,500,8,mem,8214.0
SMT,500,8,nonmem,8221.8
SMT,500,9,mem,8214.0
SMT,500,9,nonmem,8221.8
SMT,1000,0,mem,8213.8
SMT,1000,0,nonmem,8221.8
SMT,1000,1,mem,8213.6
SMT,1000,1,nonmem,8221.8
SMT,1000,2,mem,8214.3
SMT,1000,2,nonmem,8221.8
SMT,1000,3,mem,8213.7
SMT,1000,3,nonmem,8221.8
SMT,1000,4,mem,8213.9
SMT,1000,4,nonmem,8221.8
SMT,1000,5,mem,8213.9
SMT,1000,5,nonmem,8221.8
SMT,1000,6,mem,8213.6
SMT,1000,6,nonmem,8221.8
SMT,1000,7,mem,8213.6
SMT,1000,7,nonmem,8221.8
SMT,1000,8,mem,8214.1
SMT,1000,8,nonmem,8221.8
SMT,1000,9,mem,8214.1
SMT,1000,9,nonmem,8221.8
SMT,2000,0,mem,8230.6
SMT,2000,0,nonmem,8221.8
SMT,2000,1,mem,8232.1
SMT,2000,1,nonmem,8221.8
SMT,2000,2,mem,8232.1
SMT,2000,2,nonmem,8221.8
SMT,2000,3,mem,8230.8
SMT,2000,3,nonmem,8221.8
SMT,2000,4,mem,8229.0
SMT,2000,4,nonmem,8221.8
SMT,2000,5,mem,8233.9
SMT,2000,5,nonmem,8221.8
SMT,2000,6,mem,8228.9
SMT,2000,6,nonmem,8221.8
SMT,2000,7,mem,8235.8
SMT,2000,7,nonmem,8221.8
SMT,2000,8,mem,8234.6
SMT,2000,8,nonmem,8221.8
SMT,2000,9,mem,8232.2
SMT,2000,9,nonmem,8221.8
SMT,5000,0,mem,8241.6
SMT,5000,0,nonmem,8221.8
SMT,5000,1,mem,8240.2
SMT,5000,1,nonmem,8221.8
SMT,5000,2,mem,8242.2
SMT,5000,2,nonmem,8221.8
SMT,5000,3,mem,8244.9
SMT,5000,3,nonmem,8221.8
SMT,5000,4,mem,8244.3
SMT,5000,4,nonmem,8221.8
SMT,5000,5,mem,8243.2
SMT,5000,5,nonmem,8221.8
SMT,5000,6,mem,8243.6
SMT,5000,6,nonmem,8221.8
SMT,5000,7,mem,8239.8
SMT,5000,7,nonmem,8221.8
SMT,5000,8,mem,8239.6
SMT,5000,8,nonmem,8221.8
SMT,5000,9,mem,8242.1
SMT,5000,9,nonmem,8221.8
SMT,10000,0,mem,8247.8
SMT,10000,0,nonmem,8221.8
SMT,10000,1,mem,8245.0
SMT,10000,1,nonmem,8221.8
SMT,10000,2,mem,8246.8
SMT,10000,2,nonmem,8221.8
SMT,10000,3,mem,8250.3
SMT,10000,3,nonmem,8221.8
SMT,10000,4,mem,8245.2
SMT,10000,4,nonmem,8221.8
SMT,10000,5,mem,8249.8
SMT,10000,5,nonmem,8221.8
SMT,10000,6,mem,8244.0
SMT,10000,6,nonmem,8221.8
SMT,10000,7,mem,8245.4
SMT,10000,7,nonmem,8221.8
SMT,10000,8,mem,8250.8
SMT,10000,8,nonmem,8221.8
SMT,10000,9,mem,8247.7
SMT,10000,9,nonmem,8221.8
