scheme,size,rep,pi,gen_ms
VESTA-2048,2000,3,mem,273.6567
VESTA-2048,2000,3,nonmem,278.2881
MHT,2000,3,mem,0.0048
MHT,2000,3,nonmem,0.0065
VESTA-256,2000,4,mem,10.7738
VESTA-256,2000,4,nonmem,11.0176
VESTA-2048,2000,4,mem,275.5978
VESTA-2048,2000,4,nonmem,273.4402
MHT,2000,4,mem,0.006
MHT,2000,4,nonmem,0.0064
VESTA-256,2000,5,mem,10.9138
VESTA-256,2000,5,nonmem,11.0319
VESTA-2048,2000,5,mem,274.949
VESTA-2048,2000,5,nonmem,274.3525
MHT,2000,5,mem,0.0043
MHT,2000,5,nonmem,0.0071
VESTA-256,2000,6,mem,10.7879
VESTA-256,2000,6,nonmem,11.2171
VESTA-2048,2000,6,mem,272.6174
VESTA-2048,2000,6,nonmem,272.4776
MHT,2000,6,mem,0.0051
MHT,2000,6,nonmem,0.0067
VESTA-256,2000,7,mem,10.4469
VESTA-256,2000,7,nonmem,10.4354
VESTA-2048,2000,7,mem,273.3468
VESTA-2048,2000,7,nonmem,273.0462
MHT,2000,7,mem,0.0039
MHT,2000,7,nonmem,0.0061
VESTA-256,2000,8,mem,11.1223
VESTA-256,2000,8,nonmem,11.0632
VESTA-2048,2000,8,mem,271.7788
VESTA-2048,2000,8,nonmem,267.2268
MHT,2000,8,mem,0.0043
MHT,2000,8,nonmem,0.0068
VESTA-256,2000,9,mem,10.4711
VESTA-256,2000,9,nonmem,10.5419
VESTA-2048,2000,9,mem,273.8036
VESTA-2048,2000,9,nonmem,275.2249
MHT,2000,9,mem,0.0052
MHT,2000,9,nonmem,0.0059
VESTA-256,5000,0,mem,26.5762
VESTA-256,5000,0,nonmem,28.5006
VESTA-2048,5000,0,mem,677.4211
VESTA-2048,5000,0,nonmem,681.6746
MHT,5000,0,mem,0.0063
MHT,5000,0,nonmem,0.0066
VESTA-256,5000,1,mem,25.941
VESTA-256,5000,1,nonmem,26.8354
VESTA-2048,5000,1,mem,672.739
VESTA-2048,5000,1,nonmem,667.2156
MHT,5000,1,mem,0.0064
MHT,5000,1,nonmem,0.0078
VESTA-256,5000,2,mem,27.3584
VESTA-256,5000,2,nonmem,28.9077
VESTA-2048,5000,2,mem,677.1603
VESTA-2048,5000,2,nonmem,679.2534
MHT,5000,2,mem,0.0068
MHT,5000,2,nonmem,0.0067
VESTA-256,5000,3,mem,25.6066
VESTA-256,5000,3,nonmem,25.3874
VESTA-2048,5000,3,mem,680.7926
VESTA-2048,5000,3,nonmem,678.1861
MHT,5000,3,mem,0.0051
MHT,5000,3,nonmem,0.0061
VESTA-256,5000,4,mem,26.9789
VESTA-256,5000,4,nonmem,26.993
VESTA-2048,5000,4,mem,674.0046
VESTA-2048,5000,4,nonmem,678.2451
MHT,5000,4,mem,0.0048
MHT,5000,4,nonmem,0.0061
VESTA-256,5000,5,mem,26.3032
VESTA-256,5000,5,nonmem,26.6315
VESTA-2048,5000,5,mem,682.4633
VESTA-2048,5000,5,nonmem,675.9892
MHT,5000,5,mem,0.0065
MHT,5000,5,nonmem,0.0069
VESTA-256,5000,6,mem,27.1184
VESTA-256,5000,6,nonmem,26.7599
VESTA-2048,5000,6,mem,676.2432
VESTA-2048,5000,6,nonmem,679.29
MHT,5000,6,mem,0.0057
MHT,5000,6,nonmem,0.0063
VESTA-256,5000,7,mem,27.4461
VESTA-256,5000,7,nonmem,27.4661
VESTA-2048,5000,7,mem,674.2063
VESTA-2048,5000,7,nonmem,675.7671
MHT,5000,7,mem,0.006
MHT,5000,7,nonmem,0.007
VESTA-256,5000,8,mem,26.143
VESTA-256,5000,8,nonmem,26.9393
VESTA-2048,5000,8,mem,676.9909
VESTA-2048,5000,8,nonmem,678.3716
MHT,5000,8,mem,0.0067
MHT,5000,8,nonmem,0.0073
VESTA-256,5000,9,mem,27.1614
VESTA-256,5000,9,nonmem,26.4123
VESTA-2048,5000,9,mem,681.5613
VESTA-2048,5000,9,nonmem,679.4476
MHT,5000,9,mem,0.0064
MHT,5000,9,nonmem,0.0075
VESTA-256,10000,0,mem,54.0559
VESTA-256,10000,0,nonmem,53.3702
VESTA-2048,10000,0,mem,1361.3466
VESTA-2048,10000,0,nonmem,1363.7763
MHT,10000,0,mem,0.008
MHT,10000,0,nonmem,0.0068
VESTA-256,10000,1,mem,53.7008
VESTA-256,10000,1,nonmem,53.1092
VESTA-2048,10000,1,mem,1358.096
VESTA-2048,10000,1,nonmem,1377.1508
MHT,10000,1,mem,0.008
MHT,10000,1,nonmem,0.0082
VESTA-256,10000,2,mem,53.8748
VESTA-256,10000,2,nonmem,53.3824
VESTA-2048,10000,2,mem,1359.8137
VESTA-2048,10000,2,nonmem,1350.5076
MHT,10000,2,mem,0.0085
MHT,10000,2,nonmem,0.0087
VESTA-256,10000,3,mem,53.2555
VESTA-256,10000,3,nonmem,52.8111
VESTA-2048,10000,3,mem,1336.9493
VESTA-2048,10000,3,nonmem,1341.4162
MHT,10000,3,mem,0.007
MHT,10000,3,nonmem,0.0071
VESTA-256,10000,4,mem,53.385
VESTA-256,10000,4,nonmem,54.165
VESTA-2048,10000,4,mem,1367.3676
VESTA-2048,10000,4,nonmem,1344.3173
MHT,10000,4,mem,0.0072
MHT,10000,4,nonmem,0.0076
VESTA-256,10000,5,mem,52.7439
VESTA-256,10000,5,nonmem,55.1512
VESTA-2048,10000,5,mem,1339.2594
VESTA-2048,10000,5,nonmem,1341.9764
MHT,10000,5,mem,0.0077
MHT,10000,5,nonmem,0.0074
VESTA-256,10000,6,mem,52.5047
VESTA-256,10000,6,nonmem,53.1228
VESTA-2048,10000,6,mem,1348.3676
VESTA-2048,10000,6,nonmem,1349.9921
MHT,10000,6,mem,0.0068
MHT,10000,6,nonmem,0.0077
VESTA-256,10000,7,mem,52.4089
VESTA-256,10000,7,nonmem,53.2012
VESTA-2048,10000,7,mem,1351.6787
VESTA-2048,10000,7,nonmem,1355.4136
MHT,10000,7,mem,0.0068
MHT,10000,7,nonmem,0.007
VESTA-256,10000,8,mem,53.6219
VESTA-256,10000,8,nonmem,54.4688
VESTA-2048,10000,8,mem,1353.2908
VESTA-2048,10000,8,nonmem,1350.9444
MHT,10000,8,mem,0.0077
MHT,10000,8,nonmem,0.0091
VESTA-256,10000,9,mem,54.2845
VESTA-256,10000,9,nonmem,55.2325
VESTA-2048,10000,9,mem,1349.1147
VESTA-2048,10000,9,nonmem,1342.1113
MHT,10000,9,mem,0.007
MHT,10000,9,nonmem,0.0076
SMT,500,0,mem,0.0479
SMT,500,0,nonmem,0.0642
SMT,500,1,mem,0.0558
SMT,500,1,nonmem,0.0561
SMT,500,2,mem,0.0507
SMT,500,2,nonmem,0.0625
SMT,500,3,mem,0.0547
SMT,500,3,nonmem,0.0503
SMT,500,4,mem,0.0544
SMT,500,4,nonmem,0.0551
SMT,500,5,mem,0.0687
SMT,500,5,nonmem,0.0628
SMT,500,6,mem,0.0604
SMT,500,6,nonmem,0.0573
SMT,500,7,mem,0.0572
SMT,500,7,nonmem,0.0606
SMT,500,8,mem,0.0533
SMT,500,8,nonmem,0.0582
SMT,500,9,mem,0.0546
SMT,500,9,nonmem,0.0575
SMT,1000,0,mem,0.0773
SMT,1000,0,nonmem,0.0723
SMT,1000,1,mem,0.067
SMT,1000,1,nonmem,0.0655
SMT,1000,2,mem,0.0752
SMT,1000,2,nonmem,0.0584
SMT,1000,3,mem,0.0645
SMT,1000,3,nonmem,0.0597
SMT,1000,4,mem,0.0722
SMT,1000,4,nonmem,0.0594
SMT,1000,5,mem,0.0628
SMT,1000,5,nonmem,0.0605
SMT,1000,6,mem,0.0698
SMT,1000,6,nonmem,0.061
SMT,1000,7,mem,0.0661
SMT,1000,7,nonmem,0.0602
SMT,1000,8,mem,0.0651
SMT,1000,8,nonmem,0.0632
SMT,1000,9,mem,0.0586
SMT,1000,9,nonmem,0.0612
SMT,2000,0,mem,0.091
SMT,2000,0,nonmem,0.1049
SMT,2000,1,mem,0.0903
SMT,2000,1,nonmem,0.0689
SMT,2000,2,mem,0.0983
SMT,2000,2,nonmem,0.0683
SMT,2000,3,mem,0.0966
SMT,2000,3,nonmem,0.0676
SMT,2000,4,mem,0.0939
SMT,2000,4,nonmem,0.0742
SMT,2000,5,mem,0.1024
SMT,2000,5,nonmem,0.074
SMT,2000,6,mem,0.093
SMT,2000,6,nonmem,0.0699
SMT,2000,7,mem,0.0925
SMT,2000,7,nonmem,0.0628
SMT,2000,8,mem,0.0917
SMT,2000,8,nonmem,0.069
SMT,2000,9,mem,0.0847
SMT,2000,9,nonmem,0.0649
SMT,5000,0,mem,0.1005
SMT,5000,0,nonmem,0.0772
SMT,5000,1,mem,0.1589
SMT,5000,1,nonmem,0.0765
SMT,5000,2,mem,0.1691
SMT,5000,2,nonmem,0.0764
SMT,5000,3,mem,0.1523
SMT,5000,3,nonmem,0.0741
SMT,5000,4,mem,0.1685
SMT,5000,4,nonmem,0.082
SMT,5000,5,mem,0.1617
SMT,5000,5,nonmem,0.0791
SMT,5000,6,mem,0.1671
SMT,5000,6,nonmem,0.0765
SMT,5000,7,mem,0.1521
SMT,5000,7,nonmem,0.0805
SMT,5000,8,mem,0.1608
SMT,5000,8,nonmem,0.0774
SMT,5000,9,mem,0.1585
SMT,5000,9,nonmem,0.0729
SMT,10000,0,mem,0.203
SMT,10000,0,nonmem,0.0835
SMT,10000,1,mem,0.2831
SMT,10000,1,nonmem,0.0842
SMT,10000,2,mem,0.272
SMT,10000,2,nonmem,0.0873
SMT,10000,3,mem,0.2671
SMT,10000,3,nonmem,0.0828
SMT,10000,4,mem,0.2791
SMT,10000,4,nonmem,0.0897
SMT,10000,5,mem,0.304
SMT,10000,5,nonmem,0.0882
SMT,10000,6,mem,0.264
SMT,10000,6,nonmem,0.0841
SMT,10000,7,mem,0.2623
SMT,10000,7,nonmem,0.0864
SMT,10000,8,mem,0.255
SMT,10000,8,nonmem,0.0787
SMT,10000,9,mem,0.2353
SMT,10000,9,nonmem,0.0857
