[E1] ADS construction time (EverySender)
  E1 n=10000 rep=0 MHT: 26.8 ms
  E1 n=10000 rep=0 SMT: 3358.7 ms
  E1 n=10000 rep=1 VESTA: 2099.3 ms
  E1 n=10000 rep=1 MHT: 27.9 ms
  E1 n=10000 rep=1 SMT: 3385.6 ms
  E1 n=10000 rep=2 VESTA: 2170.1 ms
  E1 n=10000 rep=2 MHT: 27.5 ms
  E1 n=10000 rep=2 SMT: 3316.1 ms
  E1 n=10000 rep=3 VESTA: 2123.1 ms
  E1 n=10000 rep=3 MHT: 26.7 ms
  E1 n=10000 rep=3 SMT: 3391.0 ms
  E1 n=10000 rep=4 VESTA: 2152.7 ms
  E1 n=10000 rep=4 MHT: 27.6 ms
  E1 n=10000 rep=4 SMT: 3331.9 ms
  E1 n=10000 rep=5 VESTA: 2187.5 ms
  E1 n=10000 rep=5 MHT: 28.6 ms
  E1 n=10000 rep=5 SMT: 3354.2 ms
  E1 n=10000 rep=6 VESTA: 2158.5 ms
  E1 n=10000 rep=6 MHT: 28.6 ms
  E1 n=10000 rep=6 SMT: 3349.9 ms
  E1 n=10000 rep=7 VESTA: 2195.0 ms
  E1 n=10000 rep=7 MHT: 46.8 ms
  E1 n=10000 rep=7 SMT: 3377.3 ms
  E1 n=10000 rep=8 VESTA: 2156.5 ms
  E1 n=10000 rep=8 MHT: 27.8 ms
  E1 n=10000 rep=8 SMT: 3305.2 ms
  E1 n=10000 rep=9 VESTA: 2947.1 ms
  E1 n=10000 rep=9 MHT: 30.9 ms
  E1 n=10000 rep=9 SMT: 3421.4 ms
  saved results\e1_build_EverySender.csv (150 rows)
  saved figs/e1_build_EverySender.png
[E2/3/4] VO generation / verification / size (EverySender)
  E234 n=500 rep=0 VESTA: done
  E234 n=500 rep=0 MHT: done
  E234 n=500 rep=0 SMT: done
  E234 n=500 rep=1 VESTA: done
  E234 n=500 rep=1 MHT: done
  E234 n=500 rep=1 SMT: done
  E234 n=500 rep=2 VESTA: done
  E234 n=500 rep=2 MHT: done
  E234 n=500 rep=2 SMT: done
  E234 n=500 rep=3 VESTA: done
  E234 n=500 rep=3 MHT: done
  E234 n=500 rep=3 SMT: done
  E234 n=500 rep=4 VESTA: done
  E234 n=500 rep=4 MHT: done
  E234 n=500 rep=4 SMT: done
  E234 n=500 rep=5 VESTA: done
  E234 n=500 rep=5 MHT: done
  E234 n=500 rep=5 SMT: done
  E234 n=500 rep=6 VESTA: done
  E234 n=500 rep=6 MHT: done
  E234 n=500 rep=6 SMT: done
  E234 n=500 rep=7 VESTA: done
  E234 n=500 rep=7 MHT: done
  E234 n=500 rep=7 SMT: done
  E234 n=500 rep=8 VESTA: done
  E234 n=500 rep=8 MHT: done
  E234 n=500 rep=8 SMT: done
  E234 n=500 rep=9 VESTA: done
  E234 n=500 rep=9 MHT: done
  E234 n=500 rep=9 SMT: done
  E234 n=1000 rep=0 VESTA: done
  E234 n=1000 rep=0 MHT: done
  E234 n=1000 rep=0 SMT: done
  E234 n=1000 rep=1 VESTA: done
  E234 n=1000 rep=1 MHT: done
  E234 n=1000 rep=1 SMT: done
  E234 n=1000 rep=2 VESTA: done
  E234 n=1000 rep=2 MHT: done
  E234 n=1000 rep=2 SMT: done
  E234 n=1000 rep=3 VESTA: done
  E234 n=1000 rep=3 MHT: done
  E234 n=1000 rep=3 SMT: done
  E234 n=1000 rep=4 VESTA: done
  E234 n=1000 rep=4 MHT: done
  E234 n=1000 rep=4 SMT: done
  E234 n=1000 rep=5 VESTA: done
  E234 n=1000 rep=5 MHT: done
  E234 n=1000 rep=5 SMT: done
  E234 n=1000 rep=6 VESTA: done
  E234 n=1000 rep=6 MHT: done
  E234 n=1000 rep=6 SMT: done
  E234 n=1000 rep=7 VESTA: done
  E234 n=1000 rep=7 MHT: done
  E234 n=1000 rep=7 SMT: done
  E234 n=1000 rep=8 VESTA: done
  E234 n=1000 rep=8 MHT: done
  E234 n=1000 rep=8 SMT: done
  E234 n=1000 rep=9 VESTA: done
  E234 n=1000 rep=9 MHT: done
  E234 n=1000 rep=9 SMT: done
  E234 n=2000 rep=0 VESTA: done
  E234 n=2000 rep=0 MHT: done
  E234 n=2000 rep=0 SMT: done
  E234 n=2000 rep=1 VESTA: done
  E234 n=2000 rep=1 MHT: done
  E234 n=2000 rep=1 SMT: done
  E234 n=2000 rep=2 VESTA: done
  E234 n=2000 rep=2 MHT: done
  E234 n=2000 rep=2 SMT: done
  E234 n=2000 rep=3 VESTA: done
  E234 n=2000 rep=3 MHT: done
  E234 n=2000 rep=3 SMT: done
  E234 n=2000 rep=4 VESTA: done
  E234 n=2000 rep=4 MHT: done
  E234 n=2000 rep=4 SMT: done
  E234 n=2000 rep=5 VESTA: done
