scheme,size,rep,pi,verify_ms
VESTA-2048,2000,3,mem,0.2109
VESTA-2048,2000,3,nonmem,0.3589
MHT,2000,3,mem,0.0086
MHT,2000,3,nonmem,0.0194
VESTA-256,2000,4,mem,0.0817
VESTA-256,2000,4,nonmem,0.0839
VESTA-2048,2000,4,mem,0.2214
VESTA-2048,2000,4,nonmem,0.3631
MHT,2000,4,mem,0.0105
MHT,2000,4,nonmem,0.019
VESTA-256,2000,5,mem,0.0765
VESTA-256,2000,5,nonmem,0.0459
VESTA-2048,2000,5,mem,0.2236
VESTA-2048,2000,5,nonmem,0.3994
MHT,2000,5,mem,0.0086
MHT,2000,5,nonmem,0.0188
VESTA-256,2000,6,mem,0.087
VESTA-256,2000,6,nonmem,0.0585
VESTA-2048,2000,6,mem,0.1976
VESTA-2048,2000,6,nonmem,0.3825
MHT,2000,6,mem,0.0078
MHT,2000,6,nonmem,0.0182
VESTA-256,2000,7,mem,0.0614
VESTA-256,2000,7,nonmem,0.0906
VESTA-2048,2000,7,mem,0.1978
VESTA-2048,2000,7,nonmem,0.3557
MHT,2000,7,mem,0.0075
MHT,2000,7,nonmem,0.021
VESTA-256,2000,8,mem,0.0895
VESTA-256,2000,8,nonmem,0.0679
VESTA-2048,2000,8,mem,0.2111
VESTA-2048,2000,8,nonmem,0.3479
MHT,2000,8,mem,0.0069
MHT,2000,8,nonmem,0.0168
VESTA-256,2000,9,mem,0.05
VESTA-256,2000,9,nonmem,0.0623
VESTA-2048,2000,9,mem,0.2361
VESTA-2048,2000,9,nonmem,0.4095
MHT,2000,9,mem,0.008
MHT,2000,9,nonmem,0.0172
VESTA-256,5000,0,mem,0.0789
VESTA-256,5000,0,nonmem,0.0613
VESTA-2048,5000,0,mem,0.2119
VESTA-2048,5000,0,nonmem,0.321
MHT,5000,0,mem,0.0102
MHT,5000,0,nonmem,0.0229
VESTA-256,5000,1,mem,0.0655
VESTA-256,5000,1,nonmem,0.0712
VESTA-2048,5000,1,mem,0.2156
VESTA-2048,5000,1,nonmem,0.3339
MHT,5000,1,mem,0.0111
MHT,5000,1,nonmem,0.0247
VESTA-256,5000,2,mem,0.0609
