k,rep,gen_ms,verify_ms,size_bytes
50,0,13641.7,18.25,15061
100,0,26866.0,37.76,29860
200,0,54029.0,73.16,59552
500,0,133922.8,184.67,148637
50,1,13666.2,17.19,15062
100,1,26989.2,37.46,29860
200,1,53240.2,72.19,59556
500,1,133444.7,188.86,148633
50,2,13727.7,17.64,15061
100,2,27058.0,35.67,29860
200,2,58235.7,88.11,59553
500,2,154733.0,228.11,148633
